absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,date,velocity_km_s,miss_distance_km,year_discovered,name_neo,classType_FLR,halfAngle_CME,speed_CME,type_CME,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
27.6,8.0270317,17.9489885,2024-01-04,17123.8660723,24656351157.384933,2016,SU2,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.66,12.375278400000001,27.6719637,2024-01-04,20305.1702926,67952893524.46672,2022,BR6,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.1,16.0160338,35.8129403,2024-01-04,5378.7687289,66150221239.22232,2023,QC2,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.68,30.8003021,68.8715693,2024-01-04,6913.5062905,8493706117.642956,2023,XX12,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
24.27,37.201031,83.18403420000001,2024-01-04,6904.6151731,23231366086.325527,2023,XS13,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
28.76,4.7049496,10.520587200000001,2024-01-04,9900.421056300002,242675944.338495,2024,AD,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M1.1,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M1.1,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M1.1,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M1.1,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M3.8,45.0,732000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M3.8,22.0,893000.0,C,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M3.8,40.0,364000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
26.83,11.443397299999999,25.588214299999997,2024-01-04,7003.7707416,744109783.557929,2024,AB2,M3.8,10.0,384000.0,S,19.5,1010.4,17.5,25.6,32.1,28.8,14.7
16.28,1474.195145,3296.4005564,2024-01-03,10256.3505817,40361230813.90855,1998,XB,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
16.28,1474.195145,3296.4005564,2024-01-03,10256.3505817,40361230813.90855,1998,XB,,33.0,383000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
21.39,140.1376972,313.35741709999996,2024-01-03,13660.3242742,39218727406.50702,2003,JV14,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
21.39,140.1376972,313.35741709999996,2024-01-03,13660.3242742,39218727406.50702,2003,JV14,,33.0,383000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
20.26,235.806068,527.2783976,2024-01-03,14422.5755627,72128922747.93005,2008,WZ94,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
20.26,235.806068,527.2783976,2024-01-03,14422.5755627,72128922747.93005,2008,WZ94,,33.0,383000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
25.2,24.2412481,54.2050786,2024-01-03,13083.2838643,17737010465.498398,2011,YE40,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
25.2,24.2412481,54.2050786,2024-01-03,13083.2838643,17737010465.498398,2011,YE40,,33.0,383000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
22.32,91.31770259999999,204.1925905,2024-01-03,18361.3912555,42945020553.38936,2012,AB11,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
22.32,91.31770259999999,204.1925905,2024-01-03,18361.3912555,42945020553.38936,2012,AB11,,33.0,383000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
21.74,119.2765246,266.7104172,2024-01-03,17390.4977402,72656389982.48155,2012,LJ2,,41.0,413000.0,S,29.7,1006.9,14.0,22.5,30.1,34.3,25.3
